candidate,n,mean_return,p05_return,std_return,negative_rate,robust_score
fusion_top2,5,0.03626611599827318,0.010164762623651255,0.02071988557790626,0.0,0.03616852591562224
master_top3,5,0.016337246059678352,-0.015285733818207659,0.029531950661320402,0.4,0.001311391485244423
official_top5,5,0.006294937394950897,-0.023150683184208497,0.026909520458181548,0.6,-0.012007784311698739
master_ms_top3,5,-0.0027464346654253085,-0.05884508779753792,0.0491688006970562,0.6,-0.04446117873845832
